Place_Name,Road_Type,Day_Type,Weather,Morning_Traffic,Afternoon_Traffic,Evening_Traffic,Night_Traffic,Peak_Hour,Two_Wheelers,Cars,Auto_Rickshaws,Buses,Trucks,Avg_Speed_kmph,Signal_Delay_sec,Accident_Count,Noise_Level_dB,Air_Quality_Index,CO2_Emission_gkm,Fuel_Consumption_L,Road_Width_m,Lane_Count,Visibility_m,Comments
Paramathi Rd,City,Weekday,Sunny,7947,5583,4623,1057,No,1035,-21,1130,50,501,61.6,313,0,76.0,498,406.2,42.41,3.5,0,310,
Paramathi Rd,city road,,Foggy,4540,1899,4861,3484,No,4960,5264,447,192,3099,81.1,41,7,82.0,38,204.3,46.6,11.9,3,175,
Namakkal Town,City,Weekday,Sunny,6444,2087,3460,3062,N,4189,4195,2332,829,2676,87.5,252,3,107.7,151,135.2,27.69,8.0,1,959,Heavy traffic
,city road,,Sunny,6370,2403,7243,209,Y,832,2233,1130,693,1241,74.4,483,3,56.9,50,110.5,71.24,14.4,7,1127,Signal issue
Paramathi Rd,SH,,,3662,5525,8542,2809,,3036,5063,-74,22,2897,60.0,-30,-2,79.8,359,563.8,2.51,18.0,4,127,Accident zone
Tiruchengode Road,,Weekend,Rainy,4726,7197,5888,1684,N,4794,4417,519,99,66,-9.8,266,2,119.8,488,505.9,77.7,3.7,6,1331,Accident zone
Tiruchengode Road,City,,Sunny,706,8361,953,2618,No,3093,2884,3717,587,1433,89.6,313,-2,56.6,435,353.9,52.37,18.7,0,433,Signal issue
Salem road,Rural,Weekday,Sunny,1902,4766,3762,3491,No,1626,3969,158,349,3203,26.3,148,1,101.5,65,146.3,72.62,7.6,1,1447,
Salem road,NH,,Clear,2325,5988,763,2369,,8663,6824,1058,647,1171,25.3,446,6,106.5,199,573.4,38.02,4.1,4,1349,Signal issue
Tiruchengode Road,Rural,weekday,Foggy,2420,8831,3774,444,,539,3467,2136,228,2158,84.8,91,4,78.9,257,326.5,53.38,10.6,1,212,
,,Weekday,Clear,4935,4400,8464,3636,,6997,222,1940,12,1421,78.0,41,7,59.8,82,492.4,64.96,8.1,7,1462,Accident zone
Rasipuram Rd,Rural,Weekday,,929,6138,7746,2290,Yes,7980,3381,1488,674,3251,77.4,29,8,54.3,62,615.6,6.2,5.7,1,1572,Heavy traffic
Namakkal Town,city road,Weekend,Sunny,7484,5279,3062,3670,N,7601,1925,1966,179,1278,28.1,298,6,91.2,347,305.3,64.31,16.4,5,1433,Signal issue
Rasipuram Rd,city road,Weekend,,3579,7805,4570,2060,No,5356,3475,2374,784,3249,88.9,114,5,104.6,439,134.6,-2.2,16.0,7,1122,
,Rural,,Sunny,2190,669,4886,2741,Y,6053,379,126,41,278,13.7,114,0,109.2,290,317.2,44.84,18.9,4,1981,
Tiruchengode Road,,,Rainy,5414,7819,3476,1462,Yes,2507,6441,1466,292,2235,70.0,243,-2,59.7,76,127.0,24.07,15.6,1,1548,
Paramathi Rd,NH,Weekday,Sunny,4345,5211,4619,2431,,2331,4638,958,282,1815,73.6,332,7,61.4,96,522.2,78.07,19.0,2,1198,
Rasipuram Rd,city road,Weekday,Foggy,6828,6684,605,2126,Y,8240,6068,550,73,2936,-9.3,-20,4,97.8,384,448.8,58.92,7.9,5,1225,
Tiruchengode Road,,Weekday,Sunny,1644,7295,10275,1690,Yes,6568,3220,3939,276,62,43.9,163,7,87.3,132,647.7,26.95,19.5,3,311,Signal issue
Salem road,NH,weekday,Rainy,-117,1766,3296,3218,,5399,2531,15,771,3326,28.4,8,-1,80.4,454,395.5,47.27,12.9,2,126,
Tiruchengode Road,,,Sunny,4739,8942,2512,-19,Yes,390,3533,3227,640,1980,6.0,-1,6,84.6,429,616.7,6.21,5.6,4,1035,Accident zone
,Rural,Weekday,,1582,3805,8540,455,N,8375,5951,1655,417,40,83.8,310,7,56.2,262,260.1,52.45,5.0,7,414,Signal issue
Paramathi Rd,City,weekday,Foggy,6646,7323,3928,1675,,2389,3703,124,387,1000,-8.3,351,1,95.8,312,287.9,15.95,9.9,3,983,Signal issue
Paramathi Rd,City,Weekend,Foggy,4959,508,8293,2399,Y,6258,2999,1688,271,3160,8.4,283,1,43.7,189,202.0,62.27,19.5,7,789,Heavy traffic
Tiruchengode Road,city road,Weekday,,252,4248,10858,1548,N,6365,788,3921,274,1940,70.8,457,3,77.3,332,484.8,18.76,8.8,1,201,
Paramathi Rd,Rural,Weekend,Rainy,7100,4606,5041,1190,N,3837,366,2608,456,1682,38.1,457,9,111.9,132,540.2,-4.13,6.3,6,61,Signal issue
Rasipuram Rd,city road,Weekday,Clear,7278,2182,6389,2267,Yes,7194,2501,347,282,2954,69.0,106,7,101.0,499,611.2,-3.37,6.8,5,1153,Accident zone
,,Weekend,Clear,2430,1131,523,3082,,5725,3555,2446,30,829,48.0,-21,5,41.5,33,187.8,20.38,11.8,6,730,
Rasipuram Rd,City,,Rainy,5172,6696,314,3557,Y,383,5277,2176,433,3379,26.2,478,4,75.9,246,135.3,34.61,14.3,5,1800,
Tiruchengode Road,city road,,Rainy,5164,6510,8825,2017,,3750,3041,1020,237,3445,82.8,494,3,114.2,220,531.8,58.86,10.5,0,210,Signal issue
Namakkal Town,City,Weekend,Sunny,5625,3049,11249,908,No,5426,3212,2178,506,3432,79.2,440,6,55.4,447,187.0,63.72,6.8,4,1028,
Namakkal Town,city road,Weekend,Sunny,2025,6540,10349,534,Y,2422,1767,1659,600,2751,56.0,183,4,108.8,465,193.7,18.84,16.7,4,1328,
Paramathi Rd,SH,Weekday,,806,5037,528,728,N,8195,3893,1102,669,1735,-6.5,351,6,62.2,57,154.4,39.19,11.6,3,170,
Salem road,City,Weekday,Sunny,7463,2087,6500,2442,No,8756,6035,-69,126,2595,50.6,161,8,49.0,141,438.7,30.68,10.7,1,1524,Signal issue
Paramathi Rd,SH,Weekday,Rainy,6629,702,11873,1095,Yes,4255,741,740,574,1699,-7.7,233,5,67.3,49,203.5,12.92,14.5,1,82,
Namakkal Town,,weekday,Foggy,7575,3334,10985,3571,Yes,1817,2201,1405,223,47,-9.4,128,6,112.2,397,335.8,8.51,10.3,1,791,Accident zone
Tiruchengode Road,,Weekend,,6400,4320,11,1428,,3506,4982,1671,788,2167,42.0,112,-1,47.4,495,136.5,0.59,4.5,0,1849,
Namakkal Town,NH,Weekday,Foggy,5947,754,8729,2603,Yes,2216,6005,953,772,1250,23.3,349,7,44.9,236,246.5,78.3,12.5,6,355,
,Rural,Weekday,Rainy,5683,6029,8542,1155,Yes,2728,2886,1625,398,2935,26.3,172,0,86.5,41,102.4,24.06,14.1,4,912,Heavy traffic
Tiruchengode Road,,Weekend,Clear,35,4350,6522,2724,Y,7391,6248,37,373,172,-6.5,404,9,86.4,219,223.7,20.93,5.8,6,508,Signal issue
Tiruchengode Road,city road,Weekend,Sunny,2091,8756,8841,3097,Y,1497,3795,3598,704,2977,41.0,445,4,112.2,109,391.6,40.27,15.5,3,663,
Salem road,SH,,Sunny,2995,99,4201,2304,N,6335,3518,261,521,107,-8.1,10,0,63.5,240,96.2,9.14,4.9,3,453,
Namakkal Town,SH,Weekend,Rainy,7133,3398,10014,674,Yes,7410,1291,2911,759,3009,81.7,232,2,97.6,174,399.5,23.72,18.6,2,1341,
,Rural,Weekday,Sunny,7590,2986,3566,3678,N,1616,6137,2202,104,1419,43.0,120,1,62.0,468,209.8,58.5,4.6,6,1968,Accident zone
Namakkal Town,SH,Weekend,,1208,2826,10333,2162,,399,4085,2013,681,2596,60.2,82,8,97.5,423,285.1,28.1,6.9,0,1753,Heavy traffic
Salem road,NH,weekday,,6474,8462,3961,2780,No,3833,6589,2378,597,2102,80.5,462,7,80.6,52,423.5,15.23,4.8,3,103,
Tiruchengode Road,city road,Weekday,Rainy,5885,5943,10138,22,,2488,3334,1358,-9,29,66.4,327,0,60.3,100,95.4,22.11,8.6,0,968,
Salem road,Rural,,Sunny,1931,7000,2401,1003,,2961,4761,-51,670,1568,-9.3,204,3,74.5,165,111.8,-2.27,18.3,1,1461,Signal issue
Tiruchengode Road,city road,Weekday,,1248,3820,3060,877,No,4188,5763,1051,407,1819,77.2,155,-2,63.2,480,255.3,71.0,16.1,7,1402,Signal issue
Salem road,,weekday,Foggy,7884,8708,8933,1110,Yes,4814,695,3126,282,1798,84.2,37,2,70.2,457,378.2,72.44,6.9,3,1163,Signal issue
Rasipuram Rd,Rural,Weekend,Foggy,2758,7234,7216,767,,1840,1479,1666,428,2680,76.9,165,-1,119.2,215,238.8,17.57,8.7,1,1408,
Namakkal Town,,Weekend,Rainy,2765,6041,6828,1321,No,2827,385,115,441,2008,35.5,168,6,52.5,27,141.1,19.99,15.5,0,1238,
Tiruchengode Road,,weekday,Rainy,2914,815,8184,699,Y,6164,6787,476,241,1452,66.8,408,3,75.9,52,289.8,-4.06,7.9,5,831,
Salem road,,Weekday,Foggy,178,1859,3193,3578,N,1466,5562,2890,154,722,61.4,461,-1,65.9,357,461.4,-0.72,5.5,6,1480,Heavy traffic
Tiruchengode Road,NH,Weekend,Sunny,4924,2797,170,3633,Y,3023,3680,1526,562,3128,88.6,115,-2,99.0,400,498.2,57.16,15.3,0,316,
,NH,weekday,Clear,4069,2399,5966,1117,Y,8386,323,3137,61,1720,79.0,139,9,62.5,270,570.5,68.76,6.4,7,786,
,,Weekday,,781,7788,11868,3787,N,2756,6071,2570,887,3008,80.2,495,6,57.5,225,517.6,72.46,13.5,0,544,
,Rural,weekday,Sunny,3614,6578,11211,1749,Yes,6216,1729,766,347,2414,75.4,129,9,72.4,323,278.0,24.16,17.0,1,1676,Heavy traffic
,city road,Weekday,Rainy,7798,1009,4709,3552,Yes,4886,4831,3683,149,1866,19.6,5,8,115.3,331,647.2,11.93,18.9,1,1518,
Paramathi Rd,NH,Weekend,,6116,8828,9537,2256,N,-45,613,2588,-13,1882,1.0,453,-1,75.8,167,116.9,75.82,6.5,2,1382,
Rasipuram Rd,city road,,,6089,597,8500,3329,Y,5449,4284,636,166,3131,-5.5,367,8,88.9,202,484.5,-0.62,10.2,4,1152,Heavy traffic
Rasipuram Rd,City,Weekend,Foggy,1705,2156,11585,858,Y,8889,4748,2994,36,940,76.2,286,-1,46.9,410,328.3,-3.54,18.2,1,689,Accident zone
Paramathi Rd,Rural,Weekday,Clear,3890,309,609,272,N,-167,3736,3666,743,1069,72.7,400,7,104.2,298,419.6,65.93,10.8,7,154,
,,,Foggy,4385,4287,2620,30,Yes,5399,4135,1483,-12,3251,60.3,109,7,93.0,433,554.0,7.17,5.6,0,465,Signal issue
,city road,Weekday,Sunny,4685,8438,5084,3655,Yes,8227,2514,3621,666,2025,20.4,20,7,99.9,355,118.7,65.39,17.9,2,1839,
Tiruchengode Road,,,Rainy,1555,3027,10227,3060,Yes,7131,4702,3593,892,3375,26.4,434,5,99.6,132,91.4,37.73,14.4,2,571,Signal issue
Tiruchengode Road,NH,,Foggy,7051,433,24,1041,,2354,5261,2756,193,841,63.1,156,4,41.3,208,330.5,68.38,16.0,6,1844,
Rasipuram Rd,city road,weekday,Clear,611,6973,9074,1321,N,8623,1959,1673,778,1971,14.5,310,3,104.7,138,456.3,11.47,7.4,4,351,
Rasipuram Rd,city road,,Rainy,7604,5231,3643,3344,No,5592,6636,2074,536,2786,59.9,483,-2,88.8,403,142.6,67.41,6.3,4,1661,
Paramathi Rd,SH,Weekend,Sunny,4005,1472,2501,2676,No,5181,4867,1846,349,91,55.8,298,4,115.7,455,193.4,13.98,15.3,3,742,
Tiruchengode Road,Rural,,Rainy,4795,7471,6064,78,,7488,3678,2162,494,-24,47.6,62,6,92.4,134,602.4,12.99,5.7,2,1277,
Tiruchengode Road,city road,Weekend,Foggy,7356,7494,541,73,No,1224,1978,2361,892,784,4.4,187,8,117.8,110,250.7,38.21,18.2,3,1414,Accident zone
,,Weekend,Sunny,2573,5586,2405,752,Y,8683,3018,3597,814,706,74.9,487,8,115.3,118,197.7,2.64,6.7,5,1276,Heavy traffic
Salem road,SH,weekday,Clear,3236,4589,8910,3766,,7072,6533,510,542,3251,14.4,48,-2,72.1,103,367.3,68.61,19.1,3,156,
Tiruchengode Road,SH,Weekday,Clear,6763,7515,8189,145,N,1813,2885,2180,203,2740,-9.3,20,1,54.6,490,488.9,18.42,8.1,4,1346,
,city road,weekday,Foggy,3820,4206,538,1941,N,7395,6535,1862,175,2671,84.2,154,2,111.0,297,454.8,54.63,17.5,7,664,
Namakkal Town,Rural,,Clear,2239,959,3136,3786,Y,8864,3146,1496,662,1650,45.2,55,4,104.8,337,91.6,25.24,12.5,3,1064,Accident zone
Tiruchengode Road,city road,Weekend,Rainy,1710,3610,2674,3106,No,8393,2101,681,520,3250,79.5,334,1,71.5,250,393.4,1.14,8.1,6,542,Signal issue
Rasipuram Rd,SH,Weekend,Sunny,1158,4509,4387,3431,Yes,7502,6549,1680,319,1574,-7.6,236,2,104.5,157,407.5,61.64,11.2,7,1857,Accident zone
,,weekday,Clear,5857,4258,240,95,,7062,3821,2373,590,1271,62.6,-5,7,41.0,320,313.0,69.55,18.0,2,656,
Tiruchengode Road,SH,Weekday,Rainy,4691,5905,3055,1059,Y,529,6410,2495,650,756,57.8,58,4,101.1,152,451.3,2.65,16.7,2,1321,
Paramathi Rd,,,Clear,7498,8694,3646,2150,Y,3593,3693,1861,479,2289,41.0,476,6,92.4,414,289.6,68.96,15.3,1,1323,
,NH,Weekday,Rainy,6536,550,204,1746,No,5949,5059,2919,463,1306,-3.4,125,-1,53.3,360,318.2,-2.72,10.1,4,664,Accident zone
,NH,Weekend,Rainy,2090,6803,2738,863,Yes,8544,3740,1415,829,2212,61.3,349,4,112.4,47,215.8,24.67,7.5,2,1043,
Namakkal Town,Rural,,Sunny,223,7126,9362,996,N,3058,1423,1111,151,919,25.8,304,0,113.1,498,276.9,78.87,9.5,1,694,Signal issue
Namakkal Town,City,weekday,,-139,8071,4779,723,Yes,2364,2660,44,788,2921,72.2,404,6,48.6,327,372.2,25.03,12.3,7,909,
Namakkal Town,SH,Weekday,Clear,3345,978,11235,2165,No,5272,301,883,369,3431,4.3,114,-1,53.1,75,177.7,73.72,4.4,3,1118,Accident zone
Salem road,city road,Weekday,Sunny,5670,8054,6147,2242,Yes,3922,2345,1474,43,1455,-7.3,458,-2,119.5,436,195.4,1.81,9.7,1,1603,Heavy traffic
Tiruchengode Road,SH,weekday,Rainy,5771,2833,1497,2506,,7010,1468,3353,516,2971,15.1,265,3,98.7,20,635.5,52.29,18.1,1,402,Heavy traffic
Rasipuram Rd,city road,weekday,Rainy,5674,7152,6392,1266,No,746,6783,1321,210,2615,42.4,33,4,115.2,273,115.1,73.9,10.5,1,885,
Namakkal Town,,weekday,Clear,6589,7345,8364,3517,Yes,6481,1407,3375,545,1108,50.8,146,6,103.4,466,515.2,64.79,19.5,6,449,Heavy traffic
Namakkal Town,SH,,Rainy,5655,4152,10724,1788,N,4175,6883,3214,460,387,33.1,156,6,66.7,480,404.9,48.55,16.9,6,129,Signal issue
Tiruchengode Road,,weekday,Clear,4439,7776,3297,2481,Yes,7696,3875,3542,622,916,79.6,227,1,99.5,63,182.6,73.41,4.7,2,1075,Heavy traffic
Namakkal Town,city road,,Foggy,4266,-12,1754,1003,Y,5072,6403,2973,354,2872,36.5,422,-2,108.7,116,531.8,53.79,13.3,7,330,
Paramathi Rd,,,Foggy,5247,4814,8280,3912,Y,3448,6425,2509,752,228,2.4,71,2,99.0,110,459.2,30.23,3.2,5,353,
Salem road,SH,,Sunny,7733,1593,11784,1033,Y,6191,5662,1519,188,3307,84.0,34,0,119.3,196,101.0,2.76,12.5,0,65,
Namakkal Town,SH,weekday,Sunny,6234,8581,818,1434,,203,4892,293,373,3414,15.7,380,9,63.0,149,251.6,52.51,13.0,0,1524,
Namakkal Town,SH,,,5083,4157,8486,3892,Y,4319,1214,3436,178,2660,51.7,421,5,98.6,351,347.2,64.65,18.5,1,874,Accident zone
Rasipuram Rd,Rural,,Rainy,5240,416,11230,741,N,3551,5239,27,791,3156,-3.7,233,5,98.1,385,101.8,73.91,12.3,2,1011,
Tiruchengode Road,City,weekday,,1673,5592,4507,1664,,8778,2058,2983,280,2495,-1.9,282,9,53.7,252,109.2,24.82,6.5,7,269,
Paramathi Rd,City,weekday,Clear,7534,8905,5409,613,Yes,321,944,3406,-19,454,46.6,239,1,98.8,348,196.5,73.57,14.3,5,1904,
,Rural,Weekend,Foggy,3314,171,2821,3724,No,2495,2142,713,507,2831,16.0,151,2,111.5,109,248.2,49.8,3.1,5,1391,Signal issue
Namakkal Town,City,,Sunny,6093,685,1180,3821,No,4027,4489,2549,334,2750,9.6,353,0,94.5,228,638.1,28.95,16.6,6,245,
Paramathi Rd,Rural,,,38,2208,8408,317,Y,7228,3139,895,804,2388,86.1,351,8,83.8,206,514.1,19.59,18.0,5,381,
Salem road,NH,,Clear,1358,5342,11680,1170,N,4915,5495,3887,45,3472,21.1,425,-2,62.2,331,311.5,17.12,4.2,4,1679,
Salem road,City,Weekend,Foggy,1718,2092,6402,2997,,7682,4870,1300,156,1984,33.7,472,1,48.0,267,199.2,60.74,10.9,4,1870,
Salem road,city road,,Clear,2406,1672,11894,2340,No,5381,2159,3540,835,2094,52.6,33,-2,45.4,186,488.3,21.57,18.4,4,218,
Salem road,city road,weekday,Foggy,6729,4013,181,2800,Yes,6377,1418,-32,618,740,31.7,497,1,64.2,342,353.6,75.26,7.6,2,1057,Heavy traffic
Rasipuram Rd,,Weekday,Clear,5699,7228,10543,1051,,7161,4399,3562,382,522,85.7,232,1,110.7,196,236.2,-1.28,11.3,5,883,Signal issue
Paramathi Rd,SH,weekday,Rainy,539,8747,7122,3476,Yes,4113,3382,2584,819,1767,36.7,311,2,116.7,68,145.3,55.72,19.6,0,939,Accident zone
Rasipuram Rd,SH,,Rainy,7936,1905,10645,2489,N,8549,386,1277,612,841,-2.0,156,8,103.8,119,583.0,44.8,11.0,1,877,
Salem road,City,Weekday,,5416,4623,9261,1876,N,1288,4366,198,258,1730,40.3,128,0,68.7,142,375.3,1.97,8.4,2,517,
Namakkal Town,NH,weekday,Rainy,1393,4273,2826,1382,,7956,2979,3070,304,2335,29.9,426,3,100.3,276,127.2,61.95,11.0,2,1316,
Salem road,SH,Weekday,,5295,391,10831,3934,No,4980,2323,1031,184,791,87.9,148,7,118.0,425,332.9,53.03,8.1,5,736,Signal issue
,NH,Weekend,,6017,5024,10737,209,No,1634,2607,2404,798,495,8.2,238,3,53.4,249,244.6,32.62,5.9,4,100,Accident zone
Tiruchengode Road,City,Weekend,Sunny,6671,2829,5885,1711,No,5725,6950,3837,63,1998,66.1,416,-1,47.7,126,469.2,32.21,18.0,3,563,Accident zone
,SH,weekday,Foggy,1498,107,4740,2355,,4428,6521,3863,189,792,84.6,-29,6,90.3,103,314.3,22.25,10.6,1,1318,Heavy traffic
Salem road,NH,weekday,Clear,5454,88,152,3923,No,5616,1073,136,501,2383,67.6,185,2,43.4,158,644.0,78.52,17.2,2,1015,Signal issue
Salem road,,Weekend,Foggy,3125,8018,8786,3266,,7508,4255,602,804,456,51.1,420,0,61.0,306,148.2,19.04,13.4,2,635,
Tiruchengode Road,Rural,weekday,Rainy,6442,4130,8511,2043,Yes,4383,6662,1882,105,943,66.2,112,3,72.8,318,381.0,24.0,11.2,1,1628,
,City,,Rainy,6777,7651,10417,1306,Y,3447,5604,3827,644,1463,-5.1,219,-2,77.5,485,453.4,23.42,18.3,4,254,Heavy traffic
Salem road,,,Rainy,6690,2351,8406,2001,Yes,6877,6786,613,54,108,80.6,47,8,102.0,43,295.9,13.16,9.8,2,1296,Heavy traffic
Salem road,SH,Weekday,Foggy,5515,6403,11792,2578,,4341,-93,2005,263,2769,33.5,88,6,85.3,131,279.6,21.71,3.4,2,1616,Signal issue
Salem road,SH,Weekday,Rainy,1703,4116,907,2925,N,4407,1016,3732,341,1534,37.3,107,8,96.7,359,462.8,35.23,5.0,5,1356,
Paramathi Rd,city road,Weekday,Foggy,6462,302,8332,2763,Yes,295,1126,2750,787,1052,36.4,249,7,73.2,336,637.2,64.43,12.6,0,221,
Tiruchengode Road,Rural,Weekend,,60,8420,6947,3759,Yes,6683,2289,2164,538,685,84.7,235,7,108.4,460,562.8,53.26,19.8,4,451,Signal issue
Tiruchengode Road,SH,weekday,Sunny,1800,7439,11055,1825,,2319,4041,2877,564,851,31.8,118,4,82.3,81,617.6,19.47,4.6,1,1011,
Tiruchengode Road,city road,Weekend,Clear,2132,841,2171,1743,No,2259,6521,620,381,2165,-2.7,332,4,58.9,434,186.6,9.45,19.8,6,1395,Accident zone
Salem road,city road,weekday,,2125,6598,219,3045,Y,4442,713,2281,476,65,5.8,85,8,107.7,233,399.8,20.09,7.2,2,1348,Heavy traffic
Rasipuram Rd,SH,,Clear,7060,801,6664,3329,Y,8369,6026,1487,553,3195,89.9,291,0,58.0,383,122.4,48.13,3.6,5,598,Accident zone
Rasipuram Rd,SH,Weekend,Clear,4094,587,5380,2881,,4366,3183,739,174,260,48.8,223,2,118.1,196,95.6,60.01,7.2,7,576,Heavy traffic
Rasipuram Rd,SH,Weekend,Sunny,299,5399,9383,3899,Yes,503,6466,652,762,1536,57.3,137,2,77.0,443,563.0,5.52,9.8,1,219,Heavy traffic
Paramathi Rd,Rural,,Sunny,6249,843,9734,3289,,342,3990,509,222,3283,15.4,50,4,65.8,313,521.5,58.12,6.9,3,991,Heavy traffic
Paramathi Rd,City,,Sunny,6961,7864,7610,584,Yes,503,2684,3342,870,12,70.4,363,6,80.7,148,606.6,79.5,16.0,6,1904,
Salem road,city road,Weekday,Foggy,1096,7571,8274,1196,N,1501,4263,3478,15,1850,44.9,-9,0,56.7,131,342.3,-0.52,7.4,5,470,Heavy traffic
Tiruchengode Road,SH,Weekend,Foggy,5600,3775,6698,1475,Yes,3170,2099,697,356,3153,57.2,215,6,112.7,444,161.8,4.69,7.5,2,1283,
Paramathi Rd,City,Weekend,Clear,6980,7754,11088,533,Yes,-139,4998,3354,643,3062,67.4,423,5,73.2,95,439.1,62.68,18.8,2,1229,Signal issue
